CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41467153,THE BLEND CAFE,BRONX,582       ,EAST FORDHAM ROAD                                                                                   ,10458,3475999424,American ,05/16/2011,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,20,,,02/06/2016,Cycle Inspection / Initial Inspection
41467153,THE BLEND CAFE,BRONX,582       ,EAST FORDHAM ROAD                                                                                   ,10458,3475999424,American ,05/16/2011,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,20,,,02/06/2016,Cycle Inspection / Initial Inspection
41467153,THE BLEND CAFE,BRONX,582       ,EAST FORDHAM ROAD                                                                                   ,10458,3475999424,American ,05/16/2011,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,20,,,02/06/2016,Cycle Inspection / Initial Inspection
41467153,THE BLEND CAFE,BRONX,582       ,EAST FORDHAM ROAD                                                                                   ,10458,3475999424,American ,05/16/2011,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,20,,,02/06/2016,Cycle Inspection / Initial Inspection
41391352,CASANOVAS BILLIARDS,QUEENS,102-02,43 AVENUE,11368,7188077671,"Bottled beverages, including water, sodas, juices, etc.",06/06/2011,Violations were cited in the following area(s).,03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,Critical,32,,,02/06/2016,Cycle Inspection / Initial Inspection
41391352,CASANOVAS BILLIARDS,QUEENS,102-02,43 AVENUE,11368,7188077671,"Bottled beverages, including water, sodas, juices, etc.",06/06/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,32,,,02/06/2016,Cycle Inspection / Initial Inspection
41391352,CASANOVAS BILLIARDS,QUEENS,102-02,43 AVENUE,11368,7188077671,"Bottled beverages, including water, sodas, juices, etc.",06/06/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,32,,,02/06/2016,Cycle Inspection / Initial Inspection
41041594,THE DUGOUT,BRONX,880,RIVER AVENUE,10452,7185886912,American ,06/10/2011,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,21,,,02/06/2016,Cycle Inspection / Initial Inspection
41041594,THE DUGOUT,BRONX,880,RIVER AVENUE,10452,7185886912,American ,06/10/2011,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,21,,,02/06/2016,Cycle Inspection / Initial Inspection
41041594,THE DUGOUT,BRONX,880,RIVER AVENUE,10452,7185886912,American ,06/10/2011,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,21,,,02/06/2016,Cycle Inspection / Initial Inspection
